,title,location,scale,date_start,date_finish,size_one,size_two,price_one,price_two
170,구서 남평 N-CITY,부산광역시 금정구 구서동 162-10번지,57세대,2022-05-23,2022-05-26,62.3866,76.3613,"26,500","33,500"
171,수성포레스트스위첸,대구광역시 수성구 파동로28길 11-9(파동),755세대,2022-05-23,2022-05-26,99.0755,272.3717,"48,146","198,341"
172,이안 모란 센트럴파크,경기도 성남시 중원구 하대원동 147-5번지,74세대,2022-05-23,2022-05-26,49.7872,82.8077,"57,426","87,869"
173,주안 센트럴 파라곤,인천광역시 미추홀구 주안2동 590-22번지 일원,767세대,2022-05-23,2022-05-26,70.5304,114.473,"32,930","57,940"
174,창동 다우아트리체 주상복합 아파트,서울특별시 도봉구 창동 662-7번지 외 12필지,89세대,2022-05-23,2022-05-26,80.38,165.345,"80,720","173,596"
175,평택청북 세종 헤르메스,경기도 평택시 청북읍 옥길리 1158-7,280세대,2022-05-23,2022-05-25,104.7008,203.9541,"29,750","89,300"
176,금남로 한신더휴 펜트하우스,광주광역시 동구 금남로3가 1-3번지 일원,99세대,2022-05-24,2022-05-27,113.3199,313.1001,"76,610","211,963"
177,e편한세상 옥정 리더스가든,경기도 양주시 옥정동 옥정택지개발지구 A-24BL,938세대,2022-05-30,2022-06-02,108.9082,128.5087,"42,560","50,210"
178,e편한세상 제천 더프라임,충청북도 제천시 장락동 469-7번지 외 8필지,630세대,2022-05-30,2022-06-02,108.7951,147.9993,"39,300","56,560"
179,봉담 파라곤,경기도 화성시 봉담읍 동화리 228번지 일원(동화3지구 지역주택조합 공동주택 건설사업),105세대,2022-05-30,2022-06-03,83.4515,100.7068,"44,790","52,190"
180,울산 온양발리 신일해피트리 더루츠,울산광역시 울주군 온양읍 발리440-1일원,221세대,2022-05-30,2022-06-02,81.0764,113.0982,"34,100","47,500"
181,트리마제 순천 1단지,전라남도 순천시 조례동 168번지 외 91필지,1172세대,2022-05-30,2022-06-07,109.8715,311.3717,"41,600","144,300"
182,트리마제 순천 2단지,전라남도 순천시 조례동 161-10번지 외 51필지,633세대,2022-05-30,2022-06-07,111.4378,312.957,"42,100","145,300"
183,평촌 어바인퍼스트 더샵,경기도 안양시 동안구 호계동 954-20번지 일원,164세대,2022-05-30,2022-06-03,84.8422,136.769,"68,700","111,870"
184,힐스테이트 영광,전라남도 영광군 영광읍 백학리 330번지 일원,493세대,2022-05-30,2022-06-02,111.8038,141.1378,"35,560","49,030"
185,힐스테이트 환호공원 1블록,경상북도 포항시 북구 양덕동 산261 외 44필지,1590세대,2022-05-30,2022-06-02,84.0085,142.9129,"33,950","51,360"
186,힐스테이트 환호공원 2블록,경상북도 포항시 북구 양덕동 산235번지 외 31필지,1404세대,2022-05-30,2022-06-02,83.4279,141.9283,"33,950","61,660"
187,트리마제 순천 1단지,전라남도 순천시 조례동 168번지 외 91필지,1172세대,2022-05-30,2022-06-07,109.8715,311.3717,"41,600","144,300"
188,트리마제 순천 2단지,전라남도 순천시 조례동 161-10번지 외 51필지,633세대,2022-05-30,2022-06-07,111.4378,312.957,"42,100","145,300"
189,소사역 한라비발디 프레스티지,경기도 부천시 소사본동 70-12,166세대,2022-06-07,2022-06-10,83.4,106.64,"58,970","76,950"
190,장흥역 경남아너스빌 북한산뷰 B-1(5)블럭(2단지),경기도 양주시 장흥면 일영리 377외 29필지,283세대,2022-06-07,2022-06-10,109.6102,109.5753,"46,600","44,900"
191,중앙하이츠 더힐,부산광역시 사하구 신평동 444-1번지 일원,185세대,2022-06-07,2022-06-10,82.7291,114.735,"39,340","55,190"
192,힐스테이트 황성,경상북도 경주시 황성동 45번지 일원,608세대,2022-06-07,2022-06-09,110.0246,111.6538,"47,300","44,700"
193,강서자이 에코델타(20블록) 공공분양주택,부산광역시 강서구 강동동 공동 20BL,856세대,2022-06-08,2022-06-13,93.5366,113.0517,"41,300","46,100"
194,고흥 승원팰리체 하이엔드,전라남도 고흥군 고흥읍 남계리 1043번지,183세대,2022-06-08,2022-06-10,108.4706,160.7143,"35,800","53,500"
195,마전 양우 내안애 퍼스트힐,인천광역시 서구 마전동 1131-1,57세대,2022-06-10,2022-06-15,79.5734,110.4808,"33,444","46,043"
196,울진역 센트럴 두산위브,경상북도 울진군 울진읍 읍남리 산53-12일원,393세대,2022-06-13,2022-06-15,78.7564,169.4638,"24,360","48,400"
197,현대 프라힐스 소사역 더프라임,경기도 부천시 소사본동 70-7외 6필지,160세대,2022-06-13,2022-06-16,97.6248,101.7539,"64,452","65,435"
198,음성 푸르지오 센터피크,충청북도 음성군 대소면 성본산업단지 B2블럭,875세대,2022-06-14,2022-06-17,113.7324,140.2427,"34,000","43,900"
199,주영 더 팰리스 지븐,경상남도 통영시 광도면 죽림리 263-1번지 일원,322세대,2022-06-15,2022-06-17,87.4074,123.353,"32,680","46,088"
200,사직 하늘채 리센티아,부산광역시 동래구 사직동 566-3번지 일원,109세대,2022-06-20,2022-06-23,78.5107,109.0162,"48,100","65,900"
201,청주 SK VIEW 자이,충청북도 청주시 흥덕구 봉명동 193,1097세대,2022-06-20,2022-06-23,78.1303,129.3505,"25,680","43,870"
202,힐스테이트 불로 포레스트,인천광역시 서구 불로동 불로지구 9블록 1로트 및 2로트(불로동 82번지 일원),736세대,2022-06-20,2022-06-23,110.5922,110.5201,"52,900","52,900"
