시군구,평수,단지명,평단가,계약년월
강원도 강릉시 견소동,18.12121212121212,송정한신,993.3110367892976,202203
강원도 강릉시 견소동,18.12121212121212,송정한신,1158.8628762541807,202203
강원도 강릉시 견소동,25.74090909090909,송정한신,990.6410030019425,202203
강원도 강릉시 견소동,25.754545454545454,송정해변신도브래뉴아파트,1300.7412636780798,202203
강원도 강릉시 견소동,18.17878787878788,송정해변신도브래뉴아파트,1485.247541256876,202203
강원도 강릉시 견소동,25.754545454545454,송정해변신도브래뉴아파트,1452.1708436286622,202203
강원도 강릉시 교동,40.96142424242424,강릉교동롯데캐슬1단지,1415.9663896630013,202203
강원도 강릉시 교동,35.778363636363636,강릉교동롯데캐슬2단지,1495.3171291943836,202203
강원도 강릉시 교동,18.14848484848485,교동1주공,1476.7072967106362,202203
강원도 강릉시 교동,25.70909090909091,교동1주공,1357.4964639321074,202203
강원도 강릉시 교동,18.14848484848485,교동1주공,1471.1971948572382,202203
강원도 강릉시 교동,18.14848484848485,교동1주공,1316.9143429620972,202203
강원도 강릉시 교동,25.70909090909091,교동1주공,1361.3861386138612,202203
강원도 강릉시 교동,15.106060606060607,교동1주공,1436.5095285857572,202203
강원도 강릉시 교동,15.106060606060607,교동1주공,1290.8726178535605,202203
강원도 강릉시 교동,18.118181818181817,교동3주공,1534.3702960361265,202203
강원도 강릉시 교동,18.133333333333336,교동3주공,1621.3235294117644,202203
강원도 강릉시 교동,18.103030303030305,교동3주공,1657.1811181787746,202203
강원도 강릉시 교동,18.103030303030305,교동3주공,1618.513558754603,202203
강원도 강릉시 교동,18.103030303030305,교동3주공,1657.1811181787746,202203
강원도 강릉시 교동,25.751515151515154,교동대림,951.4003294892915,202203
강원도 강릉시 교동,18.133333333333336,교동대림,1003.6764705882351,202203
강원도 강릉시 교동,37.502,교동이-편한세상,1359.9274705349046,202203
강원도 강릉시 교동,15.127272727272729,부영1,1256.0096153846152,202203
강원도 강릉시 교동,25.736363636363638,부영3차,1476.5100671140938,202203
강원도 강릉시 교동,25.750393939393938,부영6,1700.944851682175,202203
강원도 강릉시 교동,8.40909090909091,서일2,749.189189189189,202203
강원도 강릉시 교동,25.742424242424246,정아타워맨션,602.118893466745,202203
강원도 강릉시 교동,25.74090909090909,현대,726.4700688680912,202203
강원도 강릉시 교동,37.193939393939395,현대하이빌,1344.305035033404,202203
강원도 강릉시 내곡동,7.513636363636365,강부2,585.6019358741681,202203
강원도 강릉시 내곡동,12.478787878787879,강부2,528.8975230694512,202203
강원도 강릉시 내곡동,12.478787878787879,강부2,400.6799417192812,202203
강원도 강릉시 내곡동,25.6,남산삼익,996.09375,202203
강원도 강릉시 내곡동,17.8,남산삼익,752.8089887640449,202203
강원도 강릉시 내곡동,25.6,남산삼익,761.71875,202203
강원도 강릉시 내곡동,25.754545454545454,내곡동현대,1242.4991175432403,202203
강원도 강릉시 내곡동,25.754545454545454,내곡동현대,1025.0617719731733,202203
강원도 강릉시 내곡동,11.909090909090908,내곡시영,512.2137404580153,202203
강원도 강릉시 내곡동,11.909090909090908,내곡시영,529.0076335877862,202203
강원도 강릉시 내곡동,18.172727272727272,내곡한라,921.7108554277139,202203
강원도 강릉시 노암동,14.915151515151516,노암2주공,771.0280373831775,202203
강원도 강릉시 노암동,12.951515151515153,노암2주공,691.0388394946185,202203
강원도 강릉시 노암동,14.915151515151516,노암2주공,710.6867127184071,202203
강원도 강릉시 노암동,18.18,노암3한라,1072.6072607260726,202203
강원도 강릉시 노암동,18.18,노암3한라,1122.1122112211222,202203
강원도 강릉시 노암동,18.133333333333336,노암남산현대,992.6470588235293,202203
강원도 강릉시 노암동,32.07818181818182,노암한라,701.4113246046591,202203
강원도 강릉시 노암동,18.174545454545456,노암한라,803.3213285314125,202203
강원도 강릉시 노암동,14.642424242424243,대림임대,525.8692052980132,202203
강원도 강릉시 노암동,14.642424242424243,대림임대,525.8692052980132,202203
강원도 강릉시 노암동,15.96969696969697,범아,313.0929791271347,202203
강원도 강릉시 노암동,25.743636363636362,신화,961.4026414294796,202203
강원도 강릉시 노암동,25.743636363636362,신화,776.8910233773572,202203
강원도 강릉시 노암동,34.72984848484849,양우내안애,1310.112251709079,202203
강원도 강릉시 노암동,15.127272727272729,영진3,528.8461538461538,202203
강원도 강릉시 노암동,11.898484848484848,영진노암2차,462.2437285113969,202203
강원도 강릉시 노암동,25.74090909090909,현대,689.5638354229208,202203
강원도 강릉시 송정동,23.02187878787879,강릉송정신원아침도시,1889.5069512268958,202203
강원도 강릉시 송정동,23.02187878787879,강릉송정신원아침도시,2041.536246153198,202203
강원도 강릉시 송정동,25.745757575757576,강릉송정한신더휴,2019.7502383446522,202203
강원도 강릉시 송정동,25.74848484848485,고려2,446.6282217253148,202203
강원도 강릉시 송정동,25.754545454545454,대림맨션,893.046240734204,202203
강원도 강릉시 송정동,16.372727272727275,비치소라,598.5563575791226,202203
강원도 강릉시 송정동,16.372727272727275,비치소라,610.7717934480843,202203
강원도 강릉시 송정동,25.745454545454546,삼우은성,930.2612994350283,202203
강원도 강릉시 송정동,25.745454545454546,삼우은성,971.0451977401129,202203
강원도 강릉시 송정동,23.024242424242427,송정아이파크,2258.4890760726503,202203
강원도 강릉시 송정동,25.736363636363638,송정아이파크,2331.3316849169905,202203
강원도 강릉시 연곡면 영진리,17.98787878787879,근화,472.5404312668463,202203
강원도 강릉시 연곡면 영진리,9.163636363636364,삼우그린,643.8492063492063,202203
강원도 강릉시 연곡면 영진리,9.163636363636364,삼우그린,611.1111111111111,202203
강원도 강릉시 연곡면 영진리,13.090909090909092,삼우그린,611.1111111111111,202203
강원도 강릉시 연곡면 영진리,18.17787878787879,영진부영1,1017.720506109657,202203
강원도 강릉시 연곡면 영진리,18.17787878787879,영진부영1,907.6966676113157,202203
강원도 강릉시 연곡면 영진리,18.17787878787879,영진부영1,1017.720506109657,202203
강원도 강릉시 연곡면 영진리,18.17787878787879,영진부영1,990.2145464850717,202203
강원도 강릉시 연곡면 영진리,25.724939393939398,영진부영2,583.0917527266901,202203
강원도 강릉시 연곡면 영진리,9.081030303030303,영진코아루비치테라스,1618.759051502633,202203
강원도 강릉시 연곡면 영진리,6.288696969696971,영진코아루비치테라스,1749.169987519696,202203
강원도 강릉시 연곡면 영진리,11.07069696969697,영진코아루비치테라스,1571.7167625152942,202203
강원도 강릉시 연곡면 영진리,8.53339393939394,영진코아루비치테라스,1441.3960128124088,202203
강원도 강릉시 유천동,25.687878787878788,엘에이치선수촌8단지,2510.911879202548,202203
강원도 강릉시 유천동,22.69090909090909,엘에이치선수촌8단지,2225.5608974358975,202203
강원도 강릉시 입암동,14.354545454545455,강동3,473.717542748575,202203
강원도 강릉시 입암동,14.354545454545455,강동3,574.7308423052565,202203
강원도 강릉시 입암동,25.736363636363638,강릉더샵,1476.5100671140938,202203
강원도 강릉시 입암동,37.469696969696976,강릉입암동금호어울림,1265.022240194096,202203
강원도 강릉시 입암동,13.172727272727274,삼동광업소사원,455.48654244306414,202203
강원도 강릉시 입암동,18.136363636363637,에버그린,843.609022556391,202203
강원도 강릉시 입암동,25.024242424242424,우진,519.4962460644224,202203
강원도 강릉시 입암동,25.666666666666668,이안강릉타운,1324.6753246753246,202203
강원도 강릉시 입암동,37.18787878787879,이안강릉타운,1223.5169491525423,202203
강원도 강릉시 입암동,25.666666666666668,이안강릉타운,1383.116883116883,202203
강원도 강릉시 입암동,25.666666666666668,이안강릉타운,1429.8701298701299,202203
강원도 강릉시 입암동,12.036363636363637,입암1주공,1080.060422960725,202203
강원도 강릉시 입암동,14.163636363636366,입암1주공,953.145057766367,202203
강원도 강릉시 입암동,12.036363636363637,입암1주공,1038.5196374622356,202203
강원도 강릉시 입암동,12.036363636363637,입암1주공,623.1117824773413,202203
강원도 강릉시 입암동,11.909090909090908,입암2주공,990.8396946564886,202203
강원도 강릉시 입암동,12.027272727272727,입암2주공,956.1602418745276,202203
강원도 강릉시 입암동,14.145454545454546,입암2주공,968.5089974293059,202203
강원도 강릉시 입암동,18.12121212121212,입암4주공,938.1270903010034,202203
강원도 강릉시 입암동,18.12121212121212,입암4주공,882.9431438127091,202203
강원도 강릉시 입암동,12.118181818181819,입암5주공,783.9459864966241,202203
강원도 강릉시 입암동,15.142424242424243,입암5주공,878.3269961977186,202203
