□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,
계약일자 : 20190301 ~ 20190331,,,,,,,,,,,,,,
실거래구분 : 아파트(매매),,,,,,,,,,,,,,
주소구분 : 도로명주소,,,,,,,,,,,,,,
시도 : 전체,,,,,,,,,,,,,,
시군구 : 전체,,,,,,,,,,,,,,
도로명 : 전체,,,,,,,,,,,,,,
면적 : 전체,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,
시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201903,7,"11,800",8,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,202,202,0,송정한신,59.8,201903,11,"10,500",13,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,202,202,0,송정한신,84.945,201903,14,"14,000",4,1997,경강로2539번길 8,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,84.99,201903,2,"27,500",12,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201903,7,"16,300",9,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201903,14,"15,850",5,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201903,19,"17,000",7,2005,경강로2539번길 22,,-,-
강원도 강릉시 견소동,289,289,0,송정해변신도브래뉴아파트,59.99,201903,29,"16,450",4,2005,경강로2539번길 22,,-,-
강원도 강릉시 교동,1983,1983,0,강릉교동롯데캐슬2단지,135.1008,201903,29,"37,000",14,2009,화부산로111번길 24,,-,-
강원도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,66.0388,201903,10,"24,800",9,2017,화부산로40번길 29,,-,-
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201903,21,"21,500",8,1999,가작로 78,,-,-
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,201903,26,"20,000",14,1999,가작로 78,,-,-
강원도 강릉시 교동,1767,1767,0,교동2현대,84.97,201903,30,"22,300",14,1999,교동광장로 138-15,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201903,13,"16,500",5,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201903,14,"14,000",9,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.74,201903,19,"17,000",12,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,201903,28,"16,800",7,2002,교동광장로 138-12,,-,-
강원도 강릉시 교동,18-16,18,16,교동대림,59.84,201903,27,"11,100",11,1997,수리골길17번길 21,,-,-
강원도 강릉시 교동,18-16,18,16,교동대림,84.98,201903,29,"14,500",2,1997,수리골길17번길 21,,-,-
강원도 강릉시 교동,357,357,0,교동이-편한세상,84.7155,201903,6,"27,300",7,2006,종합운동장길 92,,-,-
강원도 강릉시 교동,357,357,0,교동이-편한세상,152.24,201903,28,"42,500",11,2006,종합운동장길 92,,-,-
강원도 강릉시 교동,332-2,332,2,대인맨션,84.72,201903,22,"10,600",1,1991,화부산로141번길 45,,-,-
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201903,7,"21,000",5,2001,하슬라로 124,,-,-
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201903,13,"17,000",1,2001,하슬라로 124,,-,-
강원도 강릉시 교동,1780,1780,0,부영3차,84.93,201903,19,"19,000",10,2001,하슬라로 124,,-,-
강원도 강릉시 교동,1762,1762,0,부영5,84.93,201903,30,"19,500",8,2001,교동광장로 163,,-,-
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201903,2,"19,700",2,2003,정원로 53-9,,-,-
강원도 강릉시 교동,1775,1775,0,부영6,84.9763,201903,20,"19,500",9,2003,정원로 53-9,,-,-
강원도 강릉시 교동,348-6,348,6,서일2,27.75,201903,13,"4,350",1,1987,수리골길17번길 35,,-,-
강원도 강릉시 교동,1759,1759,0,현대하이빌,152.94,201903,18,"31,500",11,1999,원대로128번길 14,,-,-
강원도 강릉시 남문동,183-2,183,2,삼익그린맨션,84.08,201903,7,"12,000",6,1992,홍제로 7-17,,-,-
강원도 강릉시 내곡동,127,127,0,남산삼익,71.72,201903,12,"9,400",1,1993,남부로125번길 37,,-,-
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,201903,4,"12,800",17,1998,범일로 645,,-,-
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,201903,11,"11,900",16,1998,범일로 645,,-,-
강원도 강릉시 내곡동,469,469,0,내곡동현대,59.84,201903,25,"11,700",2,1998,범일로 645,,-,-
강원도 강릉시 내곡동,623,623,0,내곡주공,39.69,201903,13,"6,480",3,1989,관대길16번길 6,,-,-
강원도 강릉시 내곡동,623,623,0,내곡주공,39.3,201903,14,"5,500",5,1989,관대길16번길 6,,-,-
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201903,4,"12,400",10,1997,강변로 114,,-,-
강원도 강릉시 내곡동,476,476,0,내곡한라,59.97,201903,12,"10,000",7,1997,강변로 114,,-,-
