"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20220131"
"실거래구분 : 아파트(매매)"
"주소구분 : 도로명주소"
"시도 : 전체"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","202201","9","20,000","8","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","202201","13","12,900","4","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202201","21","26,700","6","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202201","3","35,000","3","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202201","10","24,700","5","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202201","11","34,500","7","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202201","26","38,500","10","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1984","1984","0000","강릉교동풍림아이원아파트","84.9964","202201","25","43,500","17","2017","화부산로40번길 29","20220218","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202201","8","34,000","6","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202201","8","38,800","11","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","202201","13","26,000","15","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","202201","13","26,000","15","1999","가작로 78","20220331","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","202201","2","28,100","6","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202201","4","29,000","12","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","202201","8","27,100","2","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202201","14","27,400","2","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202201","14","27,400","2","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","202201","22","30,400","3","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","202201","27","31,000","6","2002","교동광장로 138-12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","37-11","0037","0011","교동임대","51.66","202201","25","8,500","4","1987","명륜로 109-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202201","9","9,000","4","1987","율곡로2968번길 26","20220411","중개거래","강원 강릉시"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202201","17","10,800","1","1987","율곡로2968번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202201","22","12,500","3","1987","율곡로2968번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1773","1773","0000","부영1","49.92","202201","25","18,000","11","1999","정원로 53-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","202201","19","33,000","9","2001","하슬라로 124","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1775","1775","0000","부영6","59.987","202201","9","24,500","3","2003","정원로 53-9","","중개거래","강원 강릉시"
"강원도 강릉시 교동","348-6","0348","0006","서일2","27.75","202201","21","5,500","3","1987","수리골길17번길 35","","중개거래","강원 강릉시"
"강원도 강릉시 교동","46-1","0046","0001","한신","84.98","202201","21","29,100","10","1997","명륜로 95-7","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202201","17","3,900","5","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202201","21","5,750","1","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","202201","24","5,700","2","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202201","24","4,700","1","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202201","26","5,050","4","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","72.01","202201","14","15,000","4","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","202201","15","17,200","8","1993","남부로125번길 37","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","202201","27","6,750","1","1989","관대길16번길 6","","직거래","-"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202201","15","17,000","11","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202201","28","17,700","3","1997","강변로 114","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","136","0136","0000","삼익타워맨션","129.41","202201","25","24,500","9","1993","남산초교길 65","","중개거래","강원 강릉시"
