,코드,시도,시군구,읍면동,하위,위도,경도,코드종류
0,1111051500,서울특별시,종로구,청운효자동,,37.584009,126.970626,H
1,1111053000,서울특별시,종로구,사직동,,37.575408,126.965944,H
2,1111054000,서울특별시,종로구,삼청동,,37.590758,126.980996,H
3,1111055000,서울특별시,종로구,부암동,,37.594768,126.965574,H
4,1111056000,서울특별시,종로구,평창동,,37.613029,126.974485,H
5,1111057000,서울특별시,종로구,무악동,,37.57711,126.958562,H
6,1111058000,서울특별시,종로구,교남동,,37.568547,126.964454,H
7,1111060000,서울특별시,종로구,가회동,,37.582682,126.984831,H
8,1111061500,서울특별시,종로구,종로1.2.3.4가동,,37.570962,126.977881,H
9,1111063000,서울특별시,종로구,종로5.6가동,,37.573681,127.009292,H
10,1111064000,서울특별시,종로구,이화동,,37.577245,127.005622,H
11,1111065000,서울특별시,종로구,혜화동,,37.587817,127.001745,H
12,1111067000,서울특별시,종로구,창신1동,,37.573172,126.97922,H
13,1111068000,서울특별시,종로구,창신2동,,37.573172,126.97922,H
14,1111069000,서울특별시,종로구,창신3동,,37.573172,126.97922,H
15,1111070000,서울특별시,종로구,숭인1동,,37.573172,126.97922,H
16,1111071000,서울특별시,종로구,숭인2동,,37.573172,126.97922,H
17,1114052000,서울특별시,중구,소공동,,37.564079,126.980046,H
18,1114054000,서울특별시,중구,회현동,,37.557288,126.979369,H
19,1114055000,서울특별시,중구,명동,,37.560029,126.985806,H
20,1114057000,서울특별시,중구,필동,,37.560148,126.995572,H
21,1114058000,서울특별시,중구,장충동,,37.561919,127.007818,H
22,1114059000,서울특별시,중구,광희동,,37.564445,127.005023,H
23,1114060500,서울특별시,중구,을지로동,,37.56669,126.991319,H
24,1114061500,서울특별시,중구,신당동,,37.557913,127.013655,H
25,1114062500,서울특별시,중구,다산동,,37.554398,127.008155,H
26,1114063500,서울특별시,중구,약수동,,37.552459,127.008973,H
27,1114064500,서울특별시,중구,청구동,,37.557074,127.014616,H
28,1114065000,서울특별시,중구,신당5동,,37.56376,126.997459,H
29,1114066500,서울특별시,중구,동화동,,37.560042,127.019399,H
30,1114067000,서울특별시,중구,황학동,,37.568542,127.020827,H
31,1114068000,서울특별시,중구,중림동,,37.558842,126.96632,H
32,1117051000,서울특별시,용산구,후암동,,37.549901,126.980613,H
33,1117052000,서울특별시,용산구,용산2가동,,37.542884,126.985008,H
34,1117053000,서울특별시,용산구,남영동,,37.542865,126.973353,H
35,1117055500,서울특별시,용산구,청파동,,37.545502,126.969899,H
36,1117056000,서울특별시,용산구,원효로1동,,37.532612,126.990182,H
37,1117057000,서울특별시,용산구,원효로2동,,37.532612,126.990182,H
38,1117058000,서울특별시,용산구,효창동,,37.542828,126.960951,H
39,1117059000,서울특별시,용산구,용문동,,37.537663,126.959677,H
40,1117062500,서울특별시,용산구,한강로동,,37.529054,126.969503,H
41,1117063000,서울특별시,용산구,이촌1동,,37.532612,126.990182,H
42,1117064000,서울특별시,용산구,이촌2동,,37.532612,126.990182,H
43,1117065000,서울특별시,용산구,이태원1동,,37.532612,126.990182,H
44,1117066000,서울특별시,용산구,이태원2동,,37.532612,126.990182,H
45,1117068500,서울특별시,용산구,한남동,,37.537541,127.005165,H
46,1117069000,서울특별시,용산구,서빙고동,,37.518619,126.991299,H
47,1117070000,서울특별시,용산구,보광동,,37.526873,127.000917,H
48,1120052000,서울특별시,성동구,왕십리2동,,37.563386,127.037047,H
49,1120053500,서울특별시,성동구,왕십리도선동,,37.56598,127.031444,H
50,1120054000,서울특별시,성동구,마장동,,37.567363,127.040731,H
51,1120055000,서울특별시,성동구,사근동,,37.558904,127.047597,H
52,1120056000,서울특별시,성동구,행당1동,,37.563386,127.037047,H
53,1120057000,서울특별시,성동구,행당2동,,37.563386,127.037047,H
54,1120058000,서울특별시,성동구,응봉동,,37.550935,127.033903,H
55,1120059000,서울특별시,성동구,금호1가동,,37.553509,127.023661,H
56,1120061500,서울특별시,성동구,금호2.3가동,,37.549549,127.019842,H
57,1120062000,서울특별시,성동구,금호4가동,,37.545404,127.024129,H
58,1120064500,서울특별시,성동구,옥수동,,37.540788,127.020624,H
59,1120065000,서울특별시,성동구,성수1가1동,,37.543511,127.042746,H
60,1120066000,서울특별시,성동구,성수1가2동,,37.543511,127.042746,H
61,1120067000,서울특별시,성동구,성수2가1동,,37.540855,127.056517,H
62,1120069000,서울특별시,성동구,성수2가3동,,37.540855,127.056517,H
63,1120072000,서울특별시,성동구,송정동,,37.553181,127.062066,H
64,1120079000,서울특별시,성동구,용답동,,37.56147,127.056348,H
65,1121571000,서울특별시,광진구,화양동,,37.54325,127.073393,H
66,1121573000,서울특별시,광진구,군자동,,37.553038,127.073657,H
67,1121574000,서울특별시,광진구,중곡1동,,37.53821,127.082191,H
68,1121575000,서울특별시,광진구,중곡2동,,37.53821,127.082191,H
69,1121576000,서울특별시,광진구,중곡3동,,37.53821,127.082191,H
70,1121577000,서울특별시,광진구,중곡4동,,37.53821,127.082191,H
71,1121578000,서울특별시,광진구,능동,,37.550578,127.081722,H
72,1121581000,서울특별시,광진구,광장동,,37.547835,127.104695,H
73,1121582000,서울특별시,광진구,자양1동,,37.53821,127.082191,H
74,1121583000,서울특별시,광진구,자양2동,,37.53821,127.082191,H
75,1121584000,서울특별시,광진구,자양3동,,37.53821,127.082191,H
76,1121584700,서울특별시,광진구,자양4동,,37.53821,127.082191,H
77,1121585000,서울특별시,광진구,구의1동,,37.53821,127.082191,H
78,1121586000,서울특별시,광진구,구의2동,,37.53821,127.082191,H
79,1121587000,서울특별시,광진구,구의3동,,37.53821,127.082191,H
80,1123053600,서울특별시,동대문구,용신동,,37.575868,127.037305,H
81,1123054500,서울특별시,동대문구,제기동,,37.583778,127.037226,H
82,1123056000,서울특별시,동대문구,전농1동,,37.574428,127.039712,H
83,1123057000,서울특별시,동대문구,전농2동,,37.574428,127.039712,H
84,1123060000,서울특별시,동대문구,답십리1동,,37.57097,127.056703,H
85,1123061000,서울특별시,동대문구,답십리2동,,37.57097,127.056703,H
86,1123065000,서울특별시,동대문구,장안1동,,37.574428,127.039712,H
87,1123066000,서울특별시,동대문구,장안2동,,37.574428,127.039712,H
88,1123070500,서울특별시,동대문구,청량리동,,37.588799,127.04528,H
89,1123071000,서울특별시,동대문구,회기동,,37.593733,127.051434,H
90,1123072000,서울특별시,동대문구,휘경1동,,37.574428,127.039712,H
91,1123073000,서울특별시,동대문구,휘경2동,,37.574428,127.039712,H
92,1123074000,서울특별시,동대문구,이문1동,,37.574428,127.039712,H
93,1123075000,서울특별시,동대문구,이문2동,,37.574428,127.039712,H
94,1126052000,서울특별시,중랑구,면목2동,,37.606736,127.092924,H
95,1126054000,서울특별시,중랑구,면목4동,,37.606736,127.092924,H
96,1126055000,서울특별시,중랑구,면목5동,,37.606736,127.092924,H
97,1126056500,서울특별시,중랑구,면목본동,,37.587331,127.087419,H
98,1126057000,서울특별시,중랑구,면목7동,,37.606736,127.092924,H
99,1126057500,서울특별시,중랑구,면목제3.8동,,37.582921,127.088107,H
100,1126058000,서울특별시,중랑구,상봉1동,,37.606736,127.092924,H
101,1126059000,서울특별시,중랑구,상봉2동,,37.606736,127.092924,H
102,1126060000,서울특별시,중랑구,중화1동,,37.606736,127.092924,H
103,1126061000,서울특별시,중랑구,중화2동,,37.606736,127.092924,H
104,1126062000,서울특별시,중랑구,묵1동,,37.606736,127.092924,H
105,1126063000,서울특별시,중랑구,묵2동,,37.606736,127.092924,H
106,1126065500,서울특별시,중랑구,망우본동,,37.601504,127.106215,H
107,1126066000,서울특별시,중랑구,망우3동,,37.606736,127.092924,H
108,1126068000,서울특별시,중랑구,신내1동,,37.605867,127.099356,H
109,1126069000,서울특별시,중랑구,신내2동,,37.606188,127.094222,H
110,1129052500,서울특별시,성북구,성북동,,37.597248,126.992899,H
111,1129055500,서울특별시,성북구,삼선동,,37.590836,127.01467,H
112,1129057500,서울특별시,성북구,동선동,,37.593984,127.020426,H
113,1129058000,서울특별시,성북구,돈암1동,,37.58944,127.016817,H
114,1129059000,서울특별시,성북구,돈암2동,,37.58944,127.016817,H
115,1129060000,서울특별시,성북구,안암동,,37.585892,127.021381,H
116,1129061000,서울특별시,성북구,보문동,,37.58038,127.022857,H
117,1129062000,서울특별시,성북구,정릉1동,,37.58944,127.016817,H
118,1129063000,서울특별시,성북구,정릉2동,,37.58944,127.016817,H
119,1129064000,서울특별시,성북구,정릉3동,,37.58944,127.016817,H
120,1129065000,서울특별시,성북구,정릉4동,,37.58944,127.016817,H
121,1129066000,서울특별시,성북구,길음1동,,37.58944,127.016817,H
122,1129068500,서울특별시,성북구,길음2동,,37.58944,127.016817,H
123,1129070500,서울특별시,성북구,종암동,,37.597176,127.033894,H
124,1129071500,서울특별시,성북구,월곡1동,,37.58944,127.016817,H
125,1129072500,서울특별시,성북구,월곡2동,,37.58944,127.016817,H
126,1129076000,서울특별시,성북구,장위1동,,37.58944,127.016817,H
127,1129077000,서울특별시,성북구,장위2동,,37.58944,127.016817,H
128,1129078000,서울특별시,성북구,장위3동,,37.58944,127.016817,H
129,1129081000,서울특별시,성북구,석관동,,37.608265,127.061465,H
130,1130553400,서울특별시,강북구,삼양동,,37.627368,127.0183,H
131,1130553500,서울특별시,강북구,미아동,,37.621106,127.023865,H
132,1130554500,서울특별시,강북구,송중동,,37.616062,127.033819,H
133,1130555500,서울특별시,강북구,송천동,,37.618268,127.023845,H
134,1130557500,서울특별시,강북구,삼각산동,,37.616702,127.017511,H
135,1130559500,서울특별시,강북구,번1동,,37.637825,127.028802,H
136,1130560300,서울특별시,강북구,번2동,,37.632572,127.038693,H
137,1130560800,서울특별시,강북구,번3동,,37.625852,127.046619,H
138,1130561500,서울특별시,강북구,수유1동,,37.630309,127.017684,H
139,1130562500,서울특별시,강북구,수유2동,,37.644753,127.019941,H
140,1130563500,서울특별시,강북구,수유3동,,37.638832,127.023089,H
141,1130564500,서울특별시,강북구,우이동,,37.663286,127.000508,H
142,1130566000,서울특별시,강북구,인수동,,37.641485,127.010591,H
143,1132051100,서울특별시,도봉구,창1동,,37.668639,127.047364,H
144,1132051200,서울특별시,도봉구,창2동,,37.668639,127.047364,H
