,Title,Location,Scale,Date_start,Date_finish,Size_one,Size_two,Price_one,Price_two
0,계양 동도센트리움 골든베이,인천광역시 계양구 효성동 152-1번지 일원,131세대,2022-01-03,2022-01-06,80.394,96.406,"39,570","47,910"
1,나주역자이 리버파크,전라남도 나주시 송월동 135-3,1554세대,2022-01-03,2022-01-05,79.5323,233.3925,"24,870","139,350"
2,남원 월락 유탑 유블레스 킹덤,전라북도 남원시 월미안길 6(월락동),359세대,2022-01-03,2022-01-05,115.6934,133.1333,"36,300","41,500"
3,안성 우방아이유쉘 에스티지,경기도 안성시 공도읍 양기리 302-2번지 일원,948세대,2022-01-03,2022-01-06,112.2088,198.3591,"43,605","120,000"
4,엘리프세종,세종특별자치시 조치원읍 봉산리379,660세대,2022-01-03,2022-01-05,79.9291,212.4197,"26,332","73,520"
5,오산 라온프라이빗 스위트,경기도 오산시 고현동 16번지 일원,438세대,2022-01-03,2022-01-06,109.6248,114.8302,"45,600","73,000"
6,음성 동문 디 이스트,충청북도 음성군 대소면 성본리 성본산업단지 B5블록,687세대,2022-01-03,2022-01-06,110.3724,110.3724,"31,700","32,600"
7,음성 푸르지오 더 퍼스트,충청북도 음성군 대소면 성본산업단지 B3블록,1048세대,2022-01-03,2022-01-06,100.8543,138.2894,"28,700","40,900"
8,천안 성성 비스타동원,충청남도 천안시 서북구 성성4길 53(성성동),1195세대,2022-01-03,2022-01-06,116.6664,138.2933,"50,600","61,250"
9,달서 롯데캐슬 센트럴스카이,대구광역시 달서구 구마로14길 13(본동),481세대,2022-01-04,2022-01-07,115.8639,115.7598,"65,100","65,000"
10,더샵 송도아크베이(B3BL),인천광역시 연수구 송도동 30-5,608세대,2022-01-04,2022-01-06,113.7471,244.4545,"80,000","230,000"
11,음성 동문 디 이스트,충청북도 음성군 대소면 성본리 성본산업단지 B5블록,687세대,2022-01-03,2022-01-06,110.3724,110.3724,"31,700","32,600"
12,음성 푸르지오 더 퍼스트,충청북도 음성군 대소면 성본산업단지 B3블록,1048세대,2022-01-03,2022-01-06,100.8543,138.2894,"28,700","40,900"
13,경주 엘크루 헤리파크,경상북도 경주시 진현동 779-1일대,337세대,2022-01-06,2022-01-10,78.3646,110.413,"27,400","36,800"
14,광주탄벌 서희스타힐스1단지,경기도 광주시 탄벌동 509번지 일원,90세대,2022-01-10,2022-01-13,84.0722,95.98,"42,100","47,260"
15,광주탄벌 서희스타힐스2단지,경기도 광주시 탄벌동 532번지 일원,82세대,2022-01-10,2022-01-13,80.4604,81.9254,"40,290","40,210"
16,남악 오룡지구 39BL 오룡 푸르지오 파르세나,전라남도 무안군 일로읍 망월리 남악신도시 오룡택지지구 39BL,380세대,2022-01-10,2022-01-12,111.7374,112.694,"37,415","34,954"
17,남악 오룡지구 40BL 오룡 푸르지오 파르세나,전라남도 무안군 일로읍 망월리 남악신도시 오룡택지지구 40BL,352세대,2022-01-10,2022-01-12,112.6072,113.8469,"37,404","37,816"
18,신천역 한라비발디,경기도 시흥시 신천동 83-6,1297세대,2022-01-10,2022-01-13,117.7915,154.7787,"69,960","85,790"
19,쌍용 더 플래티넘 오시리아,부산광역시 기장군 기장읍 연화리 294번지 일원,191세대,2022-01-10,2022-01-12,111.3017,111.431,"76,860","163,640"
