,CN,KR,EN
0,KRW-BTC,비트코인,Bitcoin
1,KRW-ETH,이더리움,Ethereum
2,KRW-NEO,네오,NEO
3,KRW-MTL,메탈,Metal
4,KRW-LTC,라이트코인,Litecoin
5,KRW-XRP,리플,Ripple
6,KRW-ETC,이더리움클래식,Ethereum Classic
7,KRW-OMG,오미세고,OmiseGo
8,KRW-SNT,스테이터스네트워크토큰,Status Network Token
9,KRW-WAVES,웨이브,Waves
10,KRW-XEM,넴,NEM
11,KRW-QTUM,퀀텀,Qtum
12,KRW-LSK,리스크,Lisk
13,KRW-STEEM,스팀,Steem
14,KRW-XLM,스텔라루멘,Lumen
15,KRW-ARDR,아더,Ardor
16,KRW-ARK,아크,Ark
17,KRW-STORJ,스토리지,Storj
18,KRW-GRS,그로스톨코인,Groestlcoin
19,KRW-REP,어거,Augur
20,KRW-ADA,에이다,Ada
21,KRW-SBD,스팀달러,SteemDollars
22,KRW-POWR,파워렛저,Power ledger
23,KRW-BTG,비트코인골드,Bitcoin Gold
24,KRW-ICX,아이콘,Icon
25,KRW-EOS,이오스,EOS
26,KRW-TRX,트론,TRON
27,KRW-SC,시아코인,Siacoin
28,KRW-ONT,온톨로지,Ontology
29,KRW-ZIL,질리카,Zilliqa
30,KRW-POLY,폴리매쓰,Polymath
31,KRW-ZRX,제로엑스,0x Protocol
32,KRW-LOOM,룸네트워크,Loom Network
33,KRW-BCH,비트코인캐시,Bitcoin Cash
34,KRW-BAT,베이직어텐션토큰,Basic Attention Token
35,KRW-IOST,아이오에스티,IOST
36,KRW-RFR,리퍼리움,Refereum
37,KRW-CVC,시빅,Civic
38,KRW-IQ,에브리피디아,Everipedia
39,KRW-IOTA,아이오타,IOTA
40,KRW-MFT,메인프레임,Mainframe
41,KRW-ONG,온톨로지가스,ONG
42,KRW-GAS,가스,GAS
43,KRW-UPP,센티넬프로토콜,Sentinel Protocol
44,KRW-ELF,엘프,aelf
45,KRW-KNC,카이버네트워크,Kyber Network
46,KRW-BSV,비트코인에스브이,Bitcoin SV
47,KRW-THETA,쎄타토큰,Theta Token
48,KRW-QKC,쿼크체인,QuarkChain
49,KRW-BTT,비트토렌트,BitTorrent
50,KRW-MOC,모스코인,Moss Coin
51,KRW-ENJ,엔진코인,Enjin
52,KRW-TFUEL,쎄타퓨엘,Theta Fuel
53,KRW-MANA,디센트럴랜드,Decentraland
54,KRW-ANKR,앵커,Ankr
55,KRW-AERGO,아르고,Aergo
56,KRW-ATOM,코스모스,Cosmos
57,KRW-TT,썬더코어,ThunderCore
58,KRW-CRE,캐리프로토콜,Carry Protocol
59,KRW-MBL,무비블록,MovieBloc
60,KRW-WAXP,왁스,WAX
61,KRW-HBAR,헤데라,Hedera
62,KRW-MED,메디블록,MediBloc
63,KRW-MLK,밀크,MiL.k
64,KRW-STPT,에스티피,Standard Tokenization Protocol
65,KRW-ORBS,오브스,Orbs
66,KRW-VET,비체인,VeChain
67,KRW-CHZ,칠리즈,Chiliz
68,KRW-STMX,스톰엑스,StormX
69,KRW-DKA,디카르고,dKargo
70,KRW-HIVE,하이브,Hive
71,KRW-KAVA,카바,Kava
72,KRW-AHT,아하토큰,AhaToken
73,KRW-LINK,체인링크,Chainlink
74,KRW-XTZ,테조스,Tezos
75,KRW-BORA,보라,BORA
76,KRW-JST,저스트,JUST
77,KRW-CRO,크로노스,Cronos
78,KRW-TON,톤,TON
79,KRW-SXP,스와이프,Swipe
80,KRW-HUNT,헌트,HUNT
81,KRW-PLA,플레이댑,PlayDapp
82,KRW-DOT,폴카닷,Polkadot
83,KRW-SRM,세럼,Serum
84,KRW-MVL,엠블,MVL
85,KRW-STRAX,스트라티스,Stratis
86,KRW-AQT,알파쿼크,Alpha Quark Token
87,KRW-GLM,골렘,Golem
88,KRW-SSX,썸씽,SOMESING
89,KRW-META,메타디움,Metadium
90,KRW-FCT2,피르마체인,FirmaChain
91,KRW-CBK,코박토큰,Cobak Token
92,KRW-SAND,샌드박스,The Sandbox
93,KRW-HUM,휴먼스케이프,Humanscape
94,KRW-DOGE,도지코인,Dogecoin
95,KRW-STRK,스트라이크,Strike
96,KRW-PUNDIX,펀디엑스,Pundi X
97,KRW-FLOW,플로우,Flow
98,KRW-DAWN,던프로토콜,Dawn Protocol
99,KRW-AXS,엑시인피니티,Axie Infinity
100,KRW-STX,스택스,Stacks
101,KRW-XEC,이캐시,eCash
102,KRW-SOL,솔라나,Solana
103,KRW-MATIC,폴리곤,Polygon
104,KRW-NU,누사이퍼,Nucypher
105,KRW-AAVE,에이브,Aave
106,KRW-1INCH,1인치네트워크,1inch Network
107,KRW-ALGO,알고랜드,Algorand
108,KRW-NEAR,니어프로토콜,NEAR Protocol
109,KRW-WEMIX,위믹스,Wemix
110,KRW-AVAX,아발란체,Avalanche
111,KRW-T,쓰레스홀드,Threshold
112,KRW-CELO,셀로,Celo
